category,book_name,author,publisher,publishDate,price
小说,同意,[法] 瓦内莎·斯普林格拉,文汇出版社,2023-2-8,49.0元
小说,狮子之家的点心日,[日] 小川糸,湖南文艺出版社,2021-4-9,49.80
小说,乔家的儿女,未夕,浙江文艺出版社,2020-5,49.80元
小说,不能承受的生命之轻,[捷克] 米兰·昆德拉,上海译文出版社,2003-7,23.00元
小说,雨中喷泉,[日]三岛由纪夫,中信出版社,2023-3-20,49
小说,刀锋,[英] 毛姆,北京日报出版社,2023-2,76.00元
小说,一个男人的位置,[法]安妮·埃尔诺,上海人民出版社,2022-10,42
小说,绝对不在场证明,[日] 大山诚一郎,上海文艺出版社,2020-5,36.00元
小说,怪屋谜案,[日] 雨穴,台海出版社,2023-7-19,45.00元
小说,秘密,[日] 东野圭吾,南海出版公司,2017-11,45.00元
小说,人生,路遥,北京十月文艺出版社,2009-5,20.00元
小说,最蓝的眼睛,杨向荣,南海出版公司,2013-8,32.00
小说,三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,39.50元
小说,如果在冬夜，一个旅人,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4,35.00元
小说,阴兽,[日] 江户川乱步,新星出版社,2011-7,28.00元
小说,野猪渡河,张贵兴,四川人民出版社,2021-1,58.00元
小说,余生皆假期,伊坂幸太郎,新星出版社,2015-2,28
小说,白夜,[俄] 陀思妥耶夫斯基,上海译文出版社,2013-4,22.00元
小说,生吞,郑执,浙江文艺出版社,2017-11,42.00元
小说,孽子,白先勇,广西师范大学出版社,2014-11,69.00元
小说,安·兰德的小说写作课,[美] 安·兰德,九州出版社,2023-4,56.00元
小说,计算者,[俄] 亚历山大·格罗莫夫,四川科学技术出版社,2023-3,80
